Timestamp,Symbol,Open Price,Close Price,High Price,Low Price,Volume,Number of Trades,Quote Asset Volume
2025-01-23 10:33:59.999,BTCUSDT,101934.78,101987.98,101987.99,101934.77,9.2117,1691.0,939241.3205529
2025-01-23 10:34:59.999,BTCUSDT,101987.98,101987.98,101987.98,101987.98,0.0,0.0,0.0
2025-01-23 10:33:59.999,ETHUSDT,3208.64,3207.35,3208.96,3207.03,324.5513,867.0,1041098.339397
2025-01-23 10:34:59.999,ETHUSDT,3207.35,3207.35,3207.35,3207.35,0.0,0.0,0.0
2025-01-23 10:34:59.999,BNBUSDT,685.34,685.34,685.34,685.34,0.0,0.0,0.0
2025-01-23 10:34:59.999,BTCUSDT,101987.99,101987.99,101987.99,101987.98,0.02858,18.0,2914.8165923
2025-01-23 10:34:59.999,ETHUSDT,3207.35,3207.36,3207.36,3207.35,1.0828,10.0,3472.922236
2025-01-23 10:34:59.999,BNBUSDT,685.35,685.4,685.4,685.35,0.175,21.0,119.93984
2025-01-23 10:34:59.999,BTCUSDT,101987.99,101987.99,101987.99,101987.98,0.04183,34.0,4266.1574107
2025-01-23 10:34:59.999,ETHUSDT,3207.35,3207.36,3207.36,3207.35,1.5097,18.0,4842.143974
2025-01-23 10:34:59.999,BNBUSDT,685.35,685.4,685.4,685.35,0.189,23.0,129.53544
2025-01-23 10:34:59.999,BTCUSDT,101987.99,101957.64,101988.0,101957.63,9.14421,526.0,932490.0887854
2025-01-23 10:34:59.999,ETHUSDT,3207.35,3207.07,3207.36,3207.06,31.3819,98.0,100651.632263
2025-01-23 10:34:59.999,BNBUSDT,685.35,685.31,685.4,685.3,30.204,78.0,20701.12613
2025-01-23 10:34:59.999,BTCUSDT,101987.99,101946.23,101988.0,101946.23,9.4706,767.0,965767.2455319
2025-01-23 10:34:59.999,ETHUSDT,3207.35,3206.88,3207.36,3206.87,44.127,153.0,141525.813252
2025-01-23 10:34:59.999,BNBUSDT,685.35,685.28,685.4,685.27,31.671,94.0,21706.45801
2025-01-23 10:34:59.999,BTCUSDT,101987.99,101946.23,101988.0,101946.23,9.50214,771.0,968982.6296261
2025-01-23 10:34:59.999,ETHUSDT,3207.35,3206.88,3207.36,3206.87,45.2014,157.0,144971.285124
2025-01-23 10:34:59.999,BNBUSDT,685.35,685.27,685.4,685.27,31.958,98.0,21903.13145
2025-01-23 10:34:59.999,BTCUSDT,101987.99,101946.22,101988.0,101946.22,9.81553,810.0,1000931.5569492
2025-01-23 10:34:59.999,ETHUSDT,3207.35,3207.21,3207.36,3206.73,64.7845,318.0,207771.409711
2025-01-23 10:34:59.999,BNBUSDT,685.35,685.28,685.4,685.27,34.521,119.0,23659.4981
2025-01-23 10:34:59.999,BTCUSDT,101987.99,101946.23,101988.0,101946.22,9.87927,823.0,1007429.6094525
2025-01-23 10:34:59.999,ETHUSDT,3207.35,3207.28,3207.36,3206.73,65.9675,354.0,211565.559461
2025-01-23 10:34:59.999,BNBUSDT,685.35,685.28,685.4,685.27,34.771,125.0,23830.81655
2025-01-23 10:34:59.999,BTCUSDT,101987.99,101946.22,101988.0,101946.22,9.99262,845.0,1018985.2136663
2025-01-23 10:34:59.999,ETHUSDT,3207.35,3207.28,3207.36,3206.73,67.3312,369.0,215939.340356
2025-01-23 10:34:59.999,BNBUSDT,685.35,685.27,685.4,685.27,34.838,131.0,23876.72971
2025-01-23 10:34:59.999,BTCUSDT,101987.99,101946.22,101988.0,101946.22,10.01999,855.0,1021775.4817865
2025-01-23 10:34:59.999,ETHUSDT,3207.35,3207.29,3207.36,3206.73,67.4894,372.0,216446.73278
